130065 silly lifecycle node-emoji@0.1.0~preinstall: no script for preinstall, continuing
132630 info linkStuff has-cors@1.1.0
132631 silly linkStuff has-cors@1.1.0 has /var/www/app/node_modules as its parent node_modules
132632 verbose linkBins has-cors@1.1.0
132633 verbose linkMans has-cors@1.1.0
132634 silly build has-flag@1.0.0
132635 info linkStuff has-flag@1.0.0
132636 silly linkStuff has-flag@1.0.0 has /var/www/app/node_modules as its parent node_modules
132637 verbose linkBins has-flag@1.0.0
132638 verbose linkMans has-flag@1.0.0
132639 silly build supports-color@3.1.2
132640 info linkStuff supports-color@3.1.2
132641 silly linkStuff supports-color@3.1.2 has /var/www/app/node_modules/cssnano/node_modules as its parent node_modules
132642 verbose linkBins supports-color@3.1.2
132643 verbose linkMans supports-color@3.1.2
132644 silly build supports-color@3.1.2
132645 info linkStuff supports-color@3.1.2
132646 silly linkStuff supports-color@3.1.2 has /var/www/app/node_modules/autoprefixer/node_modules as its parent node_modules
132647 verbose linkBins supports-color@3.1.2
132648 verbose linkMans supports-color@3.1.2
132649 silly build has-own@1.0.0
132650 info linkStuff has-own@1.0.0
132651 silly linkStuff has-own@1.0.0 has /var/www/app/node_modules as its parent node_modules
132652 verbose linkBins has-own@1.0.0
132653 verbose linkMans has-own@1.0.0
132654 silly build has-unicode@2.0.1
132655 info linkStuff has-unicode@2.0.1
132656 silly linkStuff has-unicode@2.0.1 has /var/www/app/node_modules as its parent node_modules
132657 verbose linkBins has-unicode@2.0.1
132658 verbose linkMans has-unicode@2.0.1
132659 silly build hoek@2.16.3
132660 info linkStuff hoek@2.16.3
132661 silly linkStuff hoek@2.16.3 has /var/www/app/node_modules as its parent node_modules
132662 verbose linkBins hoek@2.16.3
132663 verbose linkMans hoek@2.16.3
132664 silly build boom@2.10.1
132665 info linkStuff boom@2.10.1
132666 silly linkStuff boom@2.10.1 has /var/www/app/node_modules as its parent node_modules
132667 verbose linkBins boom@2.10.1
132668 verbose linkMans boom@2.10.1
132669 silly build cryptiles@2.0.5
132670 info linkStuff cryptiles@2.0.5
132671 silly linkStuff cryptiles@2.0.5 has /var/www/app/node_modules as its parent node_modules
132672 verbose linkBins cryptiles@2.0.5
132673 verbose linkMans cryptiles@2.0.5
132674 silly build hosted-git-info@2.1.5
132675 info linkStuff hosted-git-info@2.1.5
132676 silly linkStuff hosted-git-info@2.1.5 has /var/www/app/node_modules as its parent node_modules
132677 verbose linkBins hosted-git-info@2.1.5
132678 verbose linkMans hosted-git-info@2.1.5
132679 silly build html-comment-regex@1.1.0
132680 info linkStuff html-comment-regex@1.1.0
132681 silly linkStuff html-comment-regex@1.1.0 has /var/www/app/node_modules as its parent node_modules
132682 verbose linkBins html-comment-regex@1.1.0
132683 verbose linkMans html-comment-regex@1.1.0
132684 silly build htmlescape@1.1.1
132685 info linkStuff htmlescape@1.1.1
132686 silly linkStuff htmlescape@1.1.1 has /var/www/app/node_modules as its parent node_modules
132687 verbose linkBins htmlescape@1.1.1
132688 verbose linkMans htmlescape@1.1.1
132689 silly build http-signature@0.11.0
132690 info linkStuff http-signature@0.11.0
132691 silly linkStuff http-signature@0.11.0 has /var/www/app/node_modules as its parent node_modules
132692 verbose linkBins http-signature@0.11.0
132693 verbose linkMans http-signature@0.11.0
132694 silly build https-browserify@0.0.1
132695 info linkStuff https-browserify@0.0.1
132696 silly linkStuff https-browserify@0.0.1 has /var/www/app/node_modules as its parent node_modules
132697 verbose linkBins https-browserify@0.0.1
132698 verbose linkMans https-browserify@0.0.1
132699 silly build ieee754@1.1.6
132700 info linkStuff ieee754@1.1.6
132701 silly linkStuff ieee754@1.1.6 has /var/www/app/node_modules as its parent node_modules
132702 verbose linkBins ieee754@1.1.6
132703 verbose linkMans ieee754@1.1.6
132704 silly build buffer@3.6.0
132705 info linkStuff buffer@3.6.0
132706 silly linkStuff buffer@3.6.0 has /var/www/app/node_modules as its parent node_modules
132707 verbose linkBins buffer@3.6.0
132708 verbose linkMans buffer@3.6.0
132709 silly build image-size@0.5.0
132710 info linkStuff image-size@0.5.0
132711 silly linkStuff image-size@0.5.0 has /var/www/app/node_modules as its parent node_modules
132712 verbose linkBins image-size@0.5.0
132713 verbose link bins [ { 'image-size': 'bin/image-size.js' },
132713 verbose link bins   '/var/www/app/node_modules/.bin',
132713 verbose link bins   false ]
132714 verbose linkMans image-size@0.5.0
132715 silly gentlyRm /var/www/app/node_modules/.bin/image-size is being purged
132716 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/image-size
132717 silly build immutable@3.8.1
132718 info linkStuff immutable@3.8.1
132719 silly linkStuff immutable@3.8.1 has /var/www/app/node_modules as its parent node_modules
132720 verbose linkBins immutable@3.8.1
132721 verbose linkMans immutable@3.8.1
132722 silly build in-publish@2.0.0
132723 info linkStuff in-publish@2.0.0
132724 silly linkStuff in-publish@2.0.0 has /var/www/app/node_modules as its parent node_modules
132725 verbose linkBins in-publish@2.0.0
132726 verbose link bins [ { 'in-publish': 'in-publish.js',
132726 verbose link bins     'in-install': 'in-install.js',
132726 verbose link bins     'not-in-publish': 'not-in-publish.js',
132726 verbose link bins     'not-in-install': 'not-in-install.js' },
132726 verbose link bins   '/var/www/app/node_modules/.bin',
132726 verbose link bins   false ]
132727 verbose linkMans in-publish@2.0.0
132728 silly gentlyRm /var/www/app/node_modules/.bin/in-publish is being purged
132729 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/in-publish
132730 silly gentlyRm /var/www/app/node_modules/.bin/in-install is being purged
132731 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/in-install
132732 silly gentlyRm /var/www/app/node_modules/.bin/not-in-publish is being purged
132733 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/not-in-publish
132734 silly gentlyRm /var/www/app/node_modules/.bin/not-in-install is being purged
132735 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/not-in-install
132736 silly build indexes-of@1.0.1
132737 info linkStuff indexes-of@1.0.1
132738 silly linkStuff indexes-of@1.0.1 has /var/www/app/node_modules as its parent node_modules
132739 verbose linkBins indexes-of@1.0.1
132740 verbose linkMans indexes-of@1.0.1
132741 silly build indexof@0.0.1
132742 info linkStuff indexof@0.0.1
132743 silly linkStuff indexof@0.0.1 has /var/www/app/node_modules as its parent node_modules
132744 verbose linkBins indexof@0.0.1
132745 verbose linkMans indexof@0.0.1
132746 silly build indx@0.2.3
132747 info linkStuff indx@0.2.3
132748 silly linkStuff indx@0.2.3 has /var/www/app/node_modules as its parent node_modules
132749 verbose linkBins indx@0.2.3
132750 verbose linkMans indx@0.2.3
132751 silly build inherits@2.0.1
132752 info linkStuff inherits@2.0.1
132753 silly linkStuff inherits@2.0.1 has /var/www/app/node_modules as its parent node_modules
132754 verbose linkBins inherits@2.0.1
132755 verbose linkMans inherits@2.0.1
132756 silly build hash.js@1.0.3
132757 info linkStuff hash.js@1.0.3
132758 silly linkStuff hash.js@1.0.3 has /var/www/app/node_modules as its parent node_modules
132759 verbose linkBins hash.js@1.0.3
132760 verbose linkMans hash.js@1.0.3
132761 silly build elliptic@6.3.1
132762 info linkStuff elliptic@6.3.1
132763 silly linkStuff elliptic@6.3.1 has /var/www/app/node_modules as its parent node_modules
132764 verbose linkBins elliptic@6.3.1
132765 verbose linkMans elliptic@6.3.1
132766 silly build create-ecdh@4.0.0
132767 info linkStuff create-ecdh@4.0.0
132768 silly linkStuff create-ecdh@4.0.0 has /var/www/app/node_modules as its parent node_modules
132769 verbose linkBins create-ecdh@4.0.0
132770 verbose linkMans create-ecdh@4.0.0
132771 silly build cipher-base@1.0.2
132772 info linkStuff cipher-base@1.0.2
132773 silly linkStuff cipher-base@1.0.2 has /var/www/app/node_modules as its parent node_modules
132774 verbose linkBins cipher-base@1.0.2
132775 verbose linkMans cipher-base@1.0.2
132776 silly build block-stream@0.0.9
132777 info linkStuff block-stream@0.0.9
132778 silly linkStuff block-stream@0.0.9 has /var/www/app/node_modules as its parent node_modules
132779 verbose linkBins block-stream@0.0.9
132780 verbose linkMans block-stream@0.0.9
132781 silly build ini@1.3.4
132782 info linkStuff ini@1.3.4
132783 silly linkStuff ini@1.3.4 has /var/www/app/node_modules as its parent node_modules
132784 verbose linkBins ini@1.3.4
132785 verbose linkMans ini@1.3.4
132786 silly build source-map@0.4.4
132787 info linkStuff source-map@0.4.4
132788 silly linkStuff source-map@0.4.4 has /var/www/app/node_modules/inline-source-map/node_modules as its parent node_modules
132789 verbose linkBins source-map@0.4.4
132790 verbose linkMans source-map@0.4.4
132791 silly build inline-source-map@0.5.0
132792 info linkStuff inline-source-map@0.5.0
132793 silly linkStuff inline-source-map@0.5.0 has /var/www/app/node_modules as its parent node_modules
132794 verbose linkBins inline-source-map@0.5.0
132795 verbose linkMans inline-source-map@0.5.0
132796 silly build insert-css@0.2.0
132797 info linkStuff insert-css@0.2.0
132798 silly linkStuff insert-css@0.2.0 has /var/www/app/node_modules as its parent node_modules
132799 verbose linkBins insert-css@0.2.0
132800 verbose linkMans insert-css@0.2.0
132801 silly build interpret@1.0.1
132802 info linkStuff interpret@1.0.1
132803 silly linkStuff interpret@1.0.1 has /var/www/app/node_modules as its parent node_modules
132804 verbose linkBins interpret@1.0.1
132805 verbose linkMans interpret@1.0.1
132806 silly build invert-kv@1.0.0
132807 info linkStuff invert-kv@1.0.0
132808 silly linkStuff invert-kv@1.0.0 has /var/www/app/node_modules as its parent node_modules
132809 verbose linkBins invert-kv@1.0.0
132810 verbose linkMans invert-kv@1.0.0
132811 silly build is@3.1.0
132812 info linkStuff is@3.1.0
132813 silly linkStuff is@3.1.0 has /var/www/app/node_modules as its parent node_modules
132814 verbose linkBins is@3.1.0
132815 verbose linkMans is@3.1.0
132816 silly build is-absolute-url@2.0.0
132817 info linkStuff is-absolute-url@2.0.0
132818 silly linkStuff is-absolute-url@2.0.0 has /var/www/app/node_modules as its parent node_modules
132819 verbose linkBins is-absolute-url@2.0.0
132820 verbose linkMans is-absolute-url@2.0.0
132821 silly build is-arrayish@0.2.1
132822 info linkStuff is-arrayish@0.2.1
132823 silly linkStuff is-arrayish@0.2.1 has /var/www/app/node_modules as its parent node_modules
132824 verbose linkBins is-arrayish@0.2.1
132825 verbose linkMans is-arrayish@0.2.1
132826 silly build error-ex@1.3.0
132827 info linkStuff error-ex@1.3.0
132828 silly linkStuff error-ex@1.3.0 has /var/www/app/node_modules as its parent node_modules
132829 verbose linkBins error-ex@1.3.0
132830 verbose linkMans error-ex@1.3.0
132831 silly build is-binary-path@1.0.1
132832 info linkStuff is-binary-path@1.0.1
132833 silly linkStuff is-binary-path@1.0.1 has /var/www/app/node_modules as its parent node_modules
132834 verbose linkBins is-binary-path@1.0.1
132835 verbose linkMans is-binary-path@1.0.1
132836 silly build is-buffer@1.1.3
132837 info linkStuff is-buffer@1.1.3
132838 silly linkStuff is-buffer@1.1.3 has /var/www/app/node_modules as its parent node_modules
132839 verbose linkBins is-buffer@1.1.3
132840 verbose linkMans is-buffer@1.1.3
132841 silly build is-builtin-module@1.0.0
132842 info linkStuff is-builtin-module@1.0.0
132843 silly linkStuff is-builtin-module@1.0.0 has /var/www/app/node_modules as its parent node_modules
132844 verbose linkBins is-builtin-module@1.0.0
132845 verbose linkMans is-builtin-module@1.0.0
132846 silly build is-dotfile@1.0.2
132847 info linkStuff is-dotfile@1.0.2
132848 silly linkStuff is-dotfile@1.0.2 has /var/www/app/node_modules as its parent node_modules
132849 verbose linkBins is-dotfile@1.0.2
132850 verbose linkMans is-dotfile@1.0.2
132851 silly build is-extendable@0.1.1
132852 info linkStuff is-extendable@0.1.1
132853 silly linkStuff is-extendable@0.1.1 has /var/www/app/node_modules as its parent node_modules
132854 verbose linkBins is-extendable@0.1.1
132855 verbose linkMans is-extendable@0.1.1
132856 silly build is-extglob@1.0.0
132857 info linkStuff is-extglob@1.0.0
132858 silly linkStuff is-extglob@1.0.0 has /var/www/app/node_modules as its parent node_modules
132859 verbose linkBins is-extglob@1.0.0
132860 verbose linkMans is-extglob@1.0.0
132861 silly build extglob@0.3.2
132862 info linkStuff extglob@0.3.2
132863 silly linkStuff extglob@0.3.2 has /var/www/app/node_modules as its parent node_modules
132864 verbose linkBins extglob@0.3.2
132865 verbose linkMans extglob@0.3.2
132866 silly build is-glob@2.0.1
132867 info linkStuff is-glob@2.0.1
132868 silly linkStuff is-glob@2.0.1 has /var/www/app/node_modules as its parent node_modules
132869 verbose linkBins is-glob@2.0.1
132870 verbose linkMans is-glob@2.0.1
132871 silly build glob-parent@2.0.0
132872 info linkStuff glob-parent@2.0.0
132873 silly linkStuff glob-parent@2.0.0 has /var/www/app/node_modules as its parent node_modules
132874 verbose linkBins glob-parent@2.0.0
132875 verbose linkMans glob-parent@2.0.0
132876 silly build glob-base@0.3.0
132877 info linkStuff glob-base@0.3.0
132878 silly linkStuff glob-base@0.3.0 has /var/www/app/node_modules as its parent node_modules
132879 verbose linkBins glob-base@0.3.0
132880 verbose linkMans glob-base@0.3.0
132881 silly build is-path-cwd@1.0.0
132882 info linkStuff is-path-cwd@1.0.0
132883 silly linkStuff is-path-cwd@1.0.0 has /var/www/app/node_modules as its parent node_modules
132884 verbose linkBins is-path-cwd@1.0.0
132885 verbose linkMans is-path-cwd@1.0.0
132886 silly build is-plain-obj@1.1.0
132887 info linkStuff is-plain-obj@1.1.0
132888 silly linkStuff is-plain-obj@1.1.0 has /var/www/app/node_modules as its parent node_modules
132889 verbose linkBins is-plain-obj@1.1.0
132890 verbose linkMans is-plain-obj@1.1.0
132891 silly build is-posix-bracket@0.1.1
132892 info linkStuff is-posix-bracket@0.1.1
132893 silly linkStuff is-posix-bracket@0.1.1 has /var/www/app/node_modules as its parent node_modules
132894 verbose linkBins is-posix-bracket@0.1.1
132895 verbose linkMans is-posix-bracket@0.1.1
132896 silly build expand-brackets@0.1.5
132897 info linkStuff expand-brackets@0.1.5
132898 silly linkStuff expand-brackets@0.1.5 has /var/www/app/node_modules as its parent node_modules
132899 verbose linkBins expand-brackets@0.1.5
132900 verbose linkMans expand-brackets@0.1.5
132901 silly build is-primitive@2.0.0
132902 info linkStuff is-primitive@2.0.0
132903 silly linkStuff is-primitive@2.0.0 has /var/www/app/node_modules as its parent node_modules
132904 verbose linkBins is-primitive@2.0.0
132905 verbose linkMans is-primitive@2.0.0
132906 silly build is-equal-shallow@0.1.3
132907 info linkStuff is-equal-shallow@0.1.3
132908 silly linkStuff is-equal-shallow@0.1.3 has /var/www/app/node_modules as its parent node_modules
132909 verbose linkBins is-equal-shallow@0.1.3
132910 verbose linkMans is-equal-shallow@0.1.3
132911 silly build is-property@1.0.2
132912 info linkStuff is-property@1.0.2
132913 silly linkStuff is-property@1.0.2 has /var/www/app/node_modules as its parent node_modules
132914 verbose linkBins is-property@1.0.2
132915 verbose linkMans is-property@1.0.2
132916 silly build generate-object-property@1.2.0
132917 info linkStuff generate-object-property@1.2.0
132918 silly linkStuff generate-object-property@1.2.0 has /var/www/app/node_modules as its parent node_modules
132919 verbose linkBins generate-object-property@1.2.0
132920 verbose linkMans generate-object-property@1.2.0
132921 silly build is-svg@2.0.1
132922 info linkStuff is-svg@2.0.1
132923 silly linkStuff is-svg@2.0.1 has /var/www/app/node_modules as its parent node_modules
132924 verbose linkBins is-svg@2.0.1
132925 verbose linkMans is-svg@2.0.1
132926 silly build is-utf8@0.2.1
132927 info linkStuff is-utf8@0.2.1
132928 silly linkStuff is-utf8@0.2.1 has /var/www/app/node_modules as its parent node_modules
132929 verbose linkBins is-utf8@0.2.1
132930 verbose linkMans is-utf8@0.2.1
132931 silly build is-windows@0.2.0
132932 info linkStuff is-windows@0.2.0
132933 silly linkStuff is-windows@0.2.0 has /var/www/app/node_modules as its parent node_modules
132934 verbose linkBins is-windows@0.2.0
132935 verbose linkMans is-windows@0.2.0
132936 silly build isarray@0.0.1
132937 info linkStuff isarray@0.0.1
132938 silly linkStuff isarray@0.0.1 has /var/www/app/node_modules as its parent node_modules
132939 verbose linkBins isarray@0.0.1
132940 verbose linkMans isarray@0.0.1
132941 silly build has-binary@0.1.7
132942 info linkStuff has-binary@0.1.7
132943 silly linkStuff has-binary@0.1.7 has /var/www/app/node_modules as its parent node_modules
132944 verbose linkBins has-binary@0.1.7
132945 verbose linkMans has-binary@0.1.7
132946 silly build has-binary@0.1.6
132947 info linkStuff has-binary@0.1.6
132948 silly linkStuff has-binary@0.1.6 has /var/www/app/node_modules/engine.io-parser/node_modules as its parent node_modules
132949 verbose linkBins has-binary@0.1.6
132950 verbose linkMans has-binary@0.1.6
132951 silly build isexe@1.1.2
132952 info linkStuff isexe@1.1.2
132953 silly linkStuff isexe@1.1.2 has /var/www/app/node_modules as its parent node_modules
132954 verbose linkBins isexe@1.1.2
132955 verbose linkMans isexe@1.1.2
132956 silly build isarray@1.0.0
132957 info linkStuff isarray@1.0.0
132958 silly linkStuff isarray@1.0.0 has /var/www/app/node_modules/isobject/node_modules as its parent node_modules
132959 verbose linkBins isarray@1.0.0
132960 verbose linkMans isarray@1.0.0
132961 silly build isobject@2.1.0
132962 info linkStuff isobject@2.1.0
132963 silly linkStuff isobject@2.1.0 has /var/www/app/node_modules as its parent node_modules
132964 verbose linkBins isobject@2.1.0
132965 verbose linkMans isobject@2.1.0
132966 silly build isstream@0.1.2
132967 info linkStuff isstream@0.1.2
132968 silly linkStuff isstream@0.1.2 has /var/www/app/node_modules as its parent node_modules
132969 verbose linkBins isstream@0.1.2
132970 verbose linkMans isstream@0.1.2
132971 silly build js-base64@2.1.9
132972 info linkStuff js-base64@2.1.9
132973 silly linkStuff js-base64@2.1.9 has /var/www/app/node_modules as its parent node_modules
132974 verbose linkBins js-base64@2.1.9
132975 verbose linkMans js-base64@2.1.9
132976 silly build js-tokens@1.0.3
132977 info linkStuff js-tokens@1.0.3
132978 silly linkStuff js-tokens@1.0.3 has /var/www/app/node_modules as its parent node_modules
132979 verbose linkBins js-tokens@1.0.3
132980 verbose linkMans js-tokens@1.0.3
132981 silly build jsesc@0.5.0
132982 info linkStuff jsesc@0.5.0
132983 silly linkStuff jsesc@0.5.0 has /var/www/app/node_modules as its parent node_modules
132984 verbose linkBins jsesc@0.5.0
132985 verbose link bins [ { jsesc: 'bin/jsesc' },
132985 verbose link bins   '/var/www/app/node_modules/.bin',
132985 verbose link bins   false ]
132986 verbose linkMans jsesc@0.5.0
132987 silly gentlyRm /var/www/app/node_modules/.bin/jsesc is being purged
132988 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/jsesc
132989 silly build json-stringify-safe@5.0.1
132990 info linkStuff json-stringify-safe@5.0.1
132991 silly linkStuff json-stringify-safe@5.0.1 has /var/www/app/node_modules as its parent node_modules
132992 verbose linkBins json-stringify-safe@5.0.1
132993 verbose linkMans json-stringify-safe@5.0.1
132994 silly build json3@3.2.6
132995 info linkStuff json3@3.2.6
132996 silly linkStuff json3@3.2.6 has /var/www/app/node_modules as its parent node_modules
132997 verbose linkBins json3@3.2.6
132998 verbose linkMans json3@3.2.6
132999 silly build json5@0.4.0
133000 info linkStuff json5@0.4.0
133001 silly linkStuff json5@0.4.0 has /var/www/app/node_modules as its parent node_modules
133002 verbose linkBins json5@0.4.0
133003 verbose link bins [ { json5: 'lib/cli.js' },
133003 verbose link bins   '/var/www/app/node_modules/.bin',
133003 verbose link bins   false ]
133004 verbose linkMans json5@0.4.0
133005 silly gentlyRm /var/www/app/node_modules/.bin/json5 is being purged
133006 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/.bin/json5
133007 silly build jsonfile@2.3.1
133008 info linkStuff jsonfile@2.3.1
133009 silly linkStuff jsonfile@2.3.1 has /var/www/app/node_modules as its parent node_modules
133010 verbose linkBins jsonfile@2.3.1
133011 verbose linkMans jsonfile@2.3.1
133012 silly build jsonify@0.0.0
133013 info linkStuff jsonify@0.0.0
133014 silly linkStuff jsonify@0.0.0 has /var/www/app/node_modules as its parent node_modules
133015 verbose linkBins jsonify@0.0.0
133016 verbose linkMans jsonify@0.0.0
133017 silly build json-stable-stringify@0.0.1
133018 info linkStuff json-stable-stringify@0.0.1
133019 silly linkStuff json-stable-stringify@0.0.1 has /var/www/app/node_modules as its parent node_modules
133020 verbose linkBins json-stable-stringify@0.0.1
133021 verbose linkMans json-stable-stringify@0.0.1
133022 silly build jsonparse@1.2.0
133023 info linkStuff jsonparse@1.2.0
133024 silly linkStuff jsonparse@1.2.0 has /var/www/app/node_modules as its parent node_modules
133025 verbose linkBins jsonparse@1.2.0
133026 verbose linkMans jsonparse@1.2.0
133027 silly build jsonpointer@2.0.0
133028 info linkStuff jsonpointer@2.0.0
133029 silly linkStuff jsonpointer@2.0.0 has /var/www/app/node_modules as its parent node_modules
133030 verbose linkBins jsonpointer@2.0.0
133031 verbose linkMans jsonpointer@2.0.0
133032 silly build kind-of@3.0.3
133033 info linkStuff kind-of@3.0.3
133034 silly linkStuff kind-of@3.0.3 has /var/www/app/node_modules as its parent node_modules
133035 verbose linkBins kind-of@3.0.3
133036 verbose linkMans kind-of@3.0.3
133037 silly build is-number@2.1.0
133038 info linkStuff is-number@2.1.0
133039 silly linkStuff is-number@2.1.0 has /var/www/app/node_modules as its parent node_modules
133040 verbose linkBins is-number@2.1.0
133041 verbose linkMans is-number@2.1.0
133042 silly build klaw@1.3.0
133043 info linkStuff klaw@1.3.0
133044 silly linkStuff klaw@1.3.0 has /var/www/app/node_modules as its parent node_modules
133045 verbose linkBins klaw@1.3.0
133046 verbose linkMans klaw@1.3.0
133047 silly build lazy-cache@1.0.4
133048 info linkStuff lazy-cache@1.0.4
133049 silly linkStuff lazy-cache@1.0.4 has /var/www/app/node_modules as its parent node_modules
133050 verbose linkBins lazy-cache@1.0.4
133051 verbose linkMans lazy-cache@1.0.4
133052 silly build lcid@1.0.0
133053 info linkStuff lcid@1.0.0
133054 silly linkStuff lcid@1.0.0 has /var/www/app/node_modules as its parent node_modules
133055 verbose linkBins lcid@1.0.0
133056 verbose linkMans lcid@1.0.0
133057 silly build mime@1.3.4
133058 info linkStuff mime@1.3.4
133059 silly linkStuff mime@1.3.4 has /var/www/app/node_modules/less/node_modules as its parent node_modules
133060 verbose linkBins mime@1.3.4
133061 verbose link bins [ { mime: 'cli.js' },
133061 verbose link bins   '/var/www/app/node_modules/less/node_modules/.bin',
133061 verbose link bins   false ]
133062 verbose linkMans mime@1.3.4
133063 silly gentlyRm /var/www/app/node_modules/less/node_modules/.bin/mime is being purged
133064 verbose gentlyRm don't care about contents; nuking /var/www/app/node_modules/less/node_modules/.bin/mime
133065 silly build lexical-scope@1.2.0
133066 info linkStuff lexical-scope@1.2.0
133067 silly linkStuff lexical-scope@1.2.0 has /var/www/app/node_modules as its parent node_modules
133068 verbose linkBins lexical-scope@1.2.0
133069 verbose linkMans lexical-scope@1.2.0
133070 silly build limiter@1.1.0
133071 info linkStuff limiter@1.1.0
133072 silly linkStuff limiter@1.1.0 has /var/www/app/node_modules as its parent node_modules
133073 verbose linkBins limiter@1.1.0
133074 verbose linkMans limiter@1.1.0
133075 silly build camelcase@1.2.1
133076 info linkStuff camelcase@1.2.1
133077 silly linkStuff camelcase@1.2.1 has /var/www/app/node_modules/localtunnel/node_modules as its parent node_modules
133078 verbose linkBins camelcase@1.2.1
133079 verbose linkMans camelcase@1.2.1
133080 silly build lodash@1.0.2
133081 info linkStuff lodash@1.0.2
133082 silly linkStuff lodash@1.0.2 has /var/www/app/node_modules as its parent node_modules
133083 verbose linkBins lodash@1.0.2
133084 verbose linkMans lodash@1.0.2
133085 silly build lodash._arraycopy@3.0.0
133086 info linkStuff lodash._arraycopy@3.0.0
133087 silly linkStuff lodash._arraycopy@3.0.0 has /var/www/app/node_modules as its parent node_modules
133088 verbose linkBins lodash._arraycopy@3.0.0
133089 verbose linkMans lodash._arraycopy@3.0.0
133090 silly build lodash._arrayeach@3.0.0
133091 info linkStuff lodash._arrayeach@3.0.0
133092 silly linkStuff lodash._arrayeach@3.0.0 has /var/www/app/node_modules as its parent node_modules
133093 verbose linkBins lodash._arrayeach@3.0.0
133094 verbose linkMans lodash._arrayeach@3.0.0
133095 silly build lodash._basecopy@3.0.1
133096 info linkStuff lodash._basecopy@3.0.1
133097 silly linkStuff lodash._basecopy@3.0.1 has /var/www/app/node_modules as its parent node_modules
133098 verbose linkBins lodash._basecopy@3.0.1
133099 verbose linkMans lodash._basecopy@3.0.1
133100 silly build lodash._basefor@3.0.3
133101 info linkStuff lodash._basefor@3.0.3
133102 silly linkStuff lodash._basefor@3.0.3 has /var/www/app/node_modules as its parent node_modules
133103 verbose linkBins lodash._basefor@3.0.3
133104 verbose linkMans lodash._basefor@3.0.3
133105 silly build lodash._baseslice@4.0.0
133106 info linkStuff lodash._baseslice@4.0.0
133107 silly linkStuff lodash._baseslice@4.0.0 has /var/www/app/node_modules as its parent node_modules
133108 verbose linkBins lodash._baseslice@4.0.0
133109 verbose linkMans lodash._baseslice@4.0.0
133110 silly build lodash._basetostring@3.0.1
133111 info linkStuff lodash._basetostring@3.0.1
133112 silly linkStuff lodash._basetostring@3.0.1 has /var/www/app/node_modules as its parent node_modules
133113 verbose linkBins lodash._basetostring@3.0.1
133114 verbose linkMans lodash._basetostring@3.0.1
133115 silly build lodash._basevalues@3.0.0
133116 info linkStuff lodash._basevalues@3.0.0
133117 silly linkStuff lodash._basevalues@3.0.0 has /var/www/app/node_modules as its parent node_modules
133118 verbose linkBins lodash._basevalues@3.0.0
133119 verbose linkMans lodash._basevalues@3.0.0
133120 silly build lodash._bindcallback@3.0.1
133121 info linkStuff lodash._bindcallback@3.0.1
133122 silly linkStuff lodash._bindcallback@3.0.1 has /var/www/app/node_modules as its parent node_modules
133123 verbose linkBins lodash._bindcallback@3.0.1
133124 verbose linkMans lodash._bindcallback@3.0.1
133125 silly build lodash._getnative@3.9.1
133126 info linkStuff lodash._getnative@3.9.1
133127 silly linkStuff lodash._getnative@3.9.1 has /var/www/app/node_modules as its parent node_modules
133128 verbose linkBins lodash._getnative@3.9.1
133129 verbose linkMans lodash._getnative@3.9.1
133130 silly build lodash._isiterateecall@3.0.9
133131 info linkStuff lodash._isiterateecall@3.0.9
133132 silly linkStuff lodash._isiterateecall@3.0.9 has /var/www/app/node_modules as its parent node_modules
133133 verbose linkBins lodash._isiterateecall@3.0.9
133134 verbose linkMans lodash._isiterateecall@3.0.9
133135 silly build lodash._reescape@3.0.0
133136 info linkStuff lodash._reescape@3.0.0
133137 silly linkStuff lodash._reescape@3.0.0 has /var/www/app/node_modules as its parent node_modules
133138 verbose linkBins lodash._reescape@3.0.0
133139 verbose linkMans lodash._reescape@3.0.0
133140 silly build lodash._reevaluate@3.0.0
133141 info linkStuff lodash._reevaluate@3.0.0
133142 silly linkStuff lodash._reevaluate@3.0.0 has /var/www/app/node_modules as its parent node_modules
133143 verbose linkBins lodash._reevaluate@3.0.0
133144 verbose linkMans lodash._reevaluate@3.0.0
133145 silly build lodash._reinterpolate@3.0.0
133146 info linkStuff lodash._reinterpolate@3.0.0
133147 silly linkStuff lodash._reinterpolate@3.0.0 has /var/www/app/node_modules as its parent node_modules
133148 verbose linkBins lodash._reinterpolate@3.0.0
133149 verbose linkMans lodash._reinterpolate@3.0.0
133150 silly build lodash._root@3.0.1
133151 info linkStuff lodash._root@3.0.1
133152 silly linkStuff lodash._root@3.0.1 has /var/www/app/node_modules as its parent node_modules
133153 verbose linkBins lodash._root@3.0.1
133154 verbose linkMans lodash._root@3.0.1
133155 silly build lodash.keys@4.0.7
133156 info linkStuff lodash.keys@4.0.7
133157 silly linkStuff lodash.keys@4.0.7 has /var/www/app/node_modules/lodash.assign/node_modules as its parent node_modules
133158 verbose linkBins lodash.keys@4.0.7
